date,description,amount
2024-10-01,Swiggy Food Delivery,450
2024-10-02,Uber Ride to Office,180
2024-10-03,Amazon Shopping,1200
2024-10-04,Netflix Subscription,649
2024-10-05,Zomato Order,380
2024-10-06,Petrol - Shell,2500
2024-10-07,Electricity Bill,1850
2024-10-08,Flipkart Purchase,890
2024-10-09,Ola Cab Service,220
2024-10-10,Dominos Pizza,560
2024-10-11,Myntra Clothing,1650
2024-10-12,Internet Bill,799
2024-10-13,Swiggy Breakfast,180
2024-10-14,Amazon Prime,299
2024-10-15,Restaurant Dinner,1200
2024-10-16,Metro Card Recharge,500
2024-10-17,Gym Membership,1500
2024-10-18,Mobile Recharge,399
2024-10-19,Cafe Coffee,250
2024-10-20,Bus Pass,800
